STOP_ID, ROUTES_USING_STOP, LONGITUDE, TICKETZONE, LATITUDE, STOP_NAME, OBJECTID
"19070","67",145.021764,"1",-37.886809,"51-Hawthorn Rd/Glenhuntly Rd (Caulfield)",147
"18394","67",145.022181,"1",-37.886978,"51-Hawthorn Rd/Glenhuntly Rd (Caulfield)",217
"19010","64",145.022098,"1",-37.886661,"57-Glenhuntly Rd/Hawthorn Rd (Caulfield)",91
"18395","67",145.024141,"1",-37.887218,"52-Jasmine St/Glenhuntly Rd (Caulfield)",218
"19071","67",145.024121,"1",-37.88711,"52-Jasmine St/Glenhuntly Rd (Caulfield)",148
"19011","64",145.022443,"1",-37.884838,"56-Briggs St/Hawthorn Rd (Caulfield)",92
"18424","64",145.022347,"1",-37.884584,"56-Lockhart St/Hawthorn Rd (Caulfield)",246
"19072","67",145.02675,"1",-37.887451,"53-Glenhuntly Tram Depot/Glenhuntly Rd (Caulfield)",149
"18396","67",145.02711,"1",-37.887611,"53-Glenhuntly Tram Depot/Glenhuntly Rd (Caulfield)",219
"18425","64",145.022719,"1",-37.88258,"55-Sylverly Gr/Hawthorn Rd (Caulfield)",247
"19073","67",145.028689,"1",-37.887673,"54-Bambra Rd/Glenhuntly Rd (Caulfield)",150
"18397","67",145.0289,"1",-37.887839,"54-Bambra Rd/Glenhuntly Rd (Caulfield)",220
"19012","64",145.022916,"1",-37.882449,"55-Sylverly Gr/Hawthorn Rd (Caulfield North)",93
"19074","67",145.030615,"1",-37.887931,"55-Fallon St/Glenhuntly Rd (Caulfield)",151
"18398","67",145.030986,"1",-37.888108,"55-Fallon St/Glenhuntly Rd (Caulfield)",221
"18426","64",145.023205,"1",-37.880128,"54-Glen Eira Rd/Hawthorn Rd (Caulfield)",248
"19013","64",145.023404,"1",-37.879934,"54-Glen Eira Rd/Hawthorn Rd (Caulfield North)",94
"19075","67",145.033085,"1",-37.888251,"56-Kambrook Rd/Glenhuntly Rd (Caulfield)",152
"18399","67",145.033433,"1",-37.888419,"56-Kean St/Glenhuntly Rd (Caulfield)",222
"19076","67",145.035114,"1",-37.888502,"57-Clarke Ave/Glenhuntly Rd (Caulfield East)",153
"18400","67",145.035485,"1",-37.88867,"57-Laura St/Glenhuntly Rd (Caulfield)",223
"18427","64",145.023719,"1",-37.877488,"53-Crotonhurst Ave/Hawthorn Rd (Caulfield North)",249
"19014","64",145.02392,"1",-37.877212,"53-Northcote Ave/Hawthorn Rd (Caulfield North)",95
"19077","67",145.03754,"1",-37.888794,"58-Booran Rd/Glenhuntly Rd (Caulfield East)",154
"18401","67",145.037808,"1",-37.888961,"58-Booran Rd/Glenhuntly Rd (Caulfield)",224
"20565","16",145.03519,"1",-37.824023,"72-Manningtree Rd/Glenferrie Rd (Hawthorn)",963
"20564","16",145.03497,"1",-37.824155,"72-Manningtree Rd/Glenferrie Rd (Hawthorn)",962
"20563","16",145.034842,"1",-37.825973,"71-Urquhart St/Glenferrie Rd (Hawthorn)",961
"20562","16",145.034613,"1",-37.826041,"71-Urquhart St/Glenferrie Rd (Hawthorn)",960
"19452","75,70",145.029083,"1",-37.828076,"30-Through St/Riversdale Rd (Hawthorn)",1319
"19300","75,70",145.029068,"1",-37.828211,"30-Through St/Riversdale Rd (Hawthorn)",1186
"19451","75,70",145.031507,"1",-37.828351,"31-Fordholm Rd/Riversdale Rd (Hawthorn)",1318
"19301","75,70",145.031628,"1",-37.828506,"31-Fordholm Rd/Riversdale Rd (Hawthorn)",1187
"20561","16",145.034329,"1",-37.828632,"70-Riversdale Rd/Glenferrie Rd (Hawthorn)",959
"19450","75,70",145.033954,"1",-37.828635,"32-Glenferrie Rd/Riversdale Rd (Hawthorn)",1317
"19302","75,70",145.034471,"1",-37.828842,"32-Glenferrie Rd/Riversdale Rd (Hawthorn)",1188
"20560","16",145.034094,"1",-37.828899,"70-Riversdale Rd/Glenferrie Rd (Hawthorn)",958
"19449","75,70",145.036797,"1",-37.828971,"33-Berkeley St/Riversdale Rd (Hawthorn)",1316
"19303","75,70",145.037258,"1",-37.829159,"33-Berkeley St/Riversdale Rd (Hawthorn)",1189
"19448","75,70",145.038473,"1",-37.829179,"34-Kooyongkoot Rd/Riversdale Rd (Hawthorn)",1315
"19754","75,70",145.03864,"1",-37.829308,"34-Kooyongkoot Rd/Riversdale Rd (Hawthorn)",852
"19447","75,70",145.041554,"1",-37.829537,"35-Robinson Rd/Riversdale Rd (Hawthorn)",1314
"19755","75,70",145.041528,"1",-37.829662,"35-Robinson Rd/Riversdale Rd (Hawthorn)",853
"20559","16",145.033877,"1",-37.831112,"69-South St/Glenferrie Rd (Hawthorn)",957
"20558","16",145.033665,"1",-37.831388,"69-South St/Glenferrie Rd (Hawthorn)",956
"20557","16",145.033502,"1",-37.833223,"68-Callantina Rd/Glenferrie Rd (Hawthorn)",955
"20556","16",145.033304,"1",-37.833427,"68-Callantina Rd/Glenferrie Rd (Hawthorn)",321
"20555","16",145.033091,"1",-37.835451,"67-Gardiner Rd/Glenferrie Rd (Hawthorn)",320
"20554","16",145.03294,"1",-37.835557,"67-Gardiner Rd/Glenferrie Rd (Hawthorn)",319
"20553","16",145.032617,"1",-37.838336,"66-Vision Australia/Glenferrie Rd (Kooyong)",318
"20552","16",145.032351,"1",-37.838494,"66-Kooyong Tennis Centre/Glenferrie Rd (Toorak)",317
"20551","16",145.032431,"1",-37.839333,"65-Kooyong Railway Station/Glenferrie Rd (Kooyong)",316
"20550","16",145.03214,"1",-37.840041,"65-Warra St/Glenferrie Rd (Toorak)",315
"19049","72",145.054849,"1",-37.841589,"56-Anderson Rd/Burke Rd (Camberwell)",127
"20549","16",145.031967,"1",-37.84184,"64-Power St/Glenferrie Rd (Kooyong)",314
"18959","72",145.054626,"1",-37.841856,"56-Anderson Rd/Burke Rd (Hawthorn East)",52
"19334","58",145.019954,"1",-37.842314,"136-Irving Rd/Toorak Rd (Toorak)",1213
"18783","58",145.020086,"1",-37.842461,"136-Irving Rd/Toorak Rd (Toorak)",11
"20548","16",145.031666,"1",-37.842475,"64-Mernda Rd/Glenferrie Rd (Kooyong)",940
"19335","58",145.022819,"1",-37.842687,"137-Kooyong Rd/Toorak Rd (Toorak)",1214
"18784","58",145.023065,"1",-37.842844,"137-Kooyong Rd/Toorak Rd (Toorak)",12
"19336","58",145.026693,"1",-37.843167,"138-Moonga Rd/Toorak Rd (Toorak)",1215
"18785","58",145.026248,"1",-37.843231,"138-Moonga Rd/Toorak Rd (Toorak)",13
"18786","58",145.029817,"1",-37.843615,"139-Glenbervie Rd/Toorak Rd (Toorak)",14
"19338","58",145.029988,"1",-37.843618,"139-Glenferrie Rd/Toorak Rd (Toorak)",1216
"20547","16",145.031657,"1",-37.843646,"63-Toorak Rd/Glenferrie Rd (Kooyong)",939
"19050","72",145.054454,"1",-37.843656,"55-Middle Rd/Burke Rd (Camberwell)",128
"18958","72",145.054245,"1",-37.843796,"55-Middle Rd/Burke Rd (Hawthorn East)",51
"20546","16",145.031434,"1",-37.84394,"63-Toorak Rd/Glenferrie Rd (Malvern)",938
"20545","16",145.031328,"1",-37.845362,"62-Mayfield Ave/Glenferrie Rd (Malvern)",937
"19051","72",145.054084,"1",-37.845614,"54-Toorak Rd/Burke Rd (Camberwell)",129
"20544","16",145.031102,"1",-37.845737,"62-Mayfield Ave/Glenferrie Rd (Malvern)",936
"18957","72",145.053874,"1",-37.8458,"54-Toorak Rd/Burke Rd (Glen Iris)",50
"20542","16",145.030731,"1",-37.847704,"61-Moorakyne Ave/Glenferrie Rd (Malvern)",934
"20523","16",145.02644,"1",-37.865836,"48-Hawthorn Rd/Dandenong Rd (Malvern)",915
"11285","5",145.022754,"1",-37.86171,"43-Egerton Rd/Wattletree Rd (Armadale)",161
"16742","6",145.014974,"1",-37.854685,"39-Auburn Gr/High St (Armadale)",363
"940","5",145.0227,"1",-37.861592,"43-Egerton Rd/Wattletree Rd (Armadale)",1658
"16772","6",145.015356,"1",-37.854872,"39-Auburn Gr/High St (Armadale)",391
"20525","16",145.02781,"1",-37.866057,"52-Dandenong Rd/Glenferrie Rd (Malvern)",917
"20524","16",145.02781,"1",-37.866057,"48-Dandenong Rd/Glenferrie Rd (Malvern)",916
"20526","16",145.027774,"1",-37.865264,"53-Malvern Railway Station/Glenferrie Rd (Malvern)",918
"946","5",145.025091,"1",-37.861893,"44-Duncraig Ave/Wattletree Rd (Armadale)",1659
"10371","5",145.025382,"1",-37.862069,"44-Duncraig Ave/Wattletree Rd (Armadale)",159
"20527","16",145.028156,"1",-37.86418,"53-Malvern Railway Station/Glenferrie Rd (Malvern)",919
"16771","6",145.018402,"1",-37.855274,"40-Armadale Station/High St (Armadale)",390
"16743","6",145.018247,"1",-37.855119,"40-Armadale Station/High St (Armadale)",364
"20528","16",145.028258,"1",-37.862478,"54-Wattletree Rd/Glenferrie Rd (Malvern)",920
"947","5",145.028127,"1",-37.862278,"45-Glenferrie Rd/Wattletree Rd (Malvern)",1660
"16744","6",145.020581,"1",-37.855419,"41-Kooyong Rd/High St (Armadale)",365
"16770","6",145.020804,"1",-37.855585,"41-Kooyong Rd/High St (Armadale)",389
"10311","5",145.028508,"1",-37.862455,"45-Glenferrie Rd/Wattletree Rd (Malvern)",158
"20529","16",145.028505,"1",-37.862158,"54-Wattletree Rd/Glenferrie Rd (Malvern)",921
"20530","16",145.028464,"1",-37.861148,"55-Llaneast St/Glenferrie Rd (Malvern)",922
