STOP_ID, STOP_NAME,SA2_NAME,SA3_CODE,SA2_CODE
19992,Williamstown Beach Railway Station (Williamstown),Williamstown,21302,213021346
19923,Laverton Railway Station (Laverton),Laverton,21305,213051363
19993,North Williamstown Railway Station (Williamstown),Williamstown,21302,213021346
19994,Newport Railway Station (Newport),Newport,21302,213021344
19995,Spotswood Railway Station (Spotswood),Spotswood,21302,213020000
19854,Flinders Street Railway Station (Melbourne City),Melbourne City,20604,206041122
22180,Southern Cross Railway Station (Melbourne City),Melbourne City,20604,206041122
19996,Yarraville Railway Station (Yarraville),Yarraville,21303,213031352
19841,Flagstaff Railway Station (Melbourne City),Melbourne City,20604,206041122
19842,Melbourne Central Railway Station (Melbourne City),Melbourne City,20604,206041122
19997,Seddon Railway Station (Seddon),Seddon,21303,213031350
19973,North Melbourne Railway Station (West Melbourne),West Melbourne,20604,206041127
20024,Middle Footscray Railway Station (Footscray),Footscray,21303,213031348
20023,West Footscray Railway Station (West Footscray),West Footscray,21303,213031351
20025,Footscray Railway Station (Footscray),Footscray,21303,213031348
20026,South Kensington Railway Station (Kensington),Kensington,20604,206041121
20022,Tottenham Railway Station (West Footscray),West Footscray,21303,213031351
19972,Macaulay Railway Station (North Melbourne),North Melbourne,20604,206041123
20041,Kensington Railway Station (Kensington),Kensington,20604,206041121
20021,Sunshine Railway Station (Sunshine),Sunshine,21301,213011336
19971,Flemington Bridge Railway Station (North Melbourne),North Melbourne,20604,206041123
20040,Newmarket Railway Station (Flemington),Flemington,20603,206031115
19970,Royal Park Railway Station (Parkville),Parkville,20604,206041124
20004,Albion Railway Station (Sunshine North),Sunshine North,21301,213011337
20039,Ascot Vale Railway Station (Ascot Vale),Ascot Vale,20603,206031113
19969,Jewell Railway Station (Brunswick),Brunswick,20601,206011105
20016,Northcote Railway Station (Northcote),Northcote,20602,206021111
19968,Brunswick Railway Station (Brunswick),Brunswick,20601,206011105
19844,Belgrave Railway Station (Belgrave),Belgrave,21105,211051274
19845,Tecoma Railway Station (Tecoma),Tecoma,21105,211051284
19952,North Brighton Railway Station (Brighton),Brighton,20801,208011169
19846,Upwey Railway Station (Upwey),Upwey,21105,211051284
19941,Ormond Railway Station (Ormond),Ormond,20802,208021182
19917,Oakleigh Railway Station (Oakleigh),Oakleigh,21205,212051326
19953,Gardenvale Railway Station (Brighton),Brighton,20801,208011169
19918,Hughesdale Railway Station (Hughesdale),Hughesdale,20802,208021180
19867,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),Upper Ferntree Gully,21101,211011448
19919,Murrumbeena Railway Station (Murrumbeena),Murrumbeena,20802,208021181
19942,Glenhuntly Railway Station (Glen Huntly),Glen Huntly,20802,208021182
