SA2_NAME,SA3_CODE,SA2_CODE
Hastings,21402,214021379
Somers,21402,214021379
Seaford,21401,214011375
Mornington,21402,214021380
Skye,21401,214011376
Sandhurst,21401,214011376
Mount Eliza,21402,214021381
Dromana,21402,214021377
Rosebud,21402,214021384
McCrae,21402,214021384
Somerville,21402,214021385
Oak Park,21003,210031239
Diggers Rest,21004,210041241
Melbourne City,20604,206041122
Clifton Hill,20607,206071145
Macleod,20901,209011203
Williams Landing,21305,213051366
Seaholme,21302,213020000
Spotswood,21302,213020000
Caulfield East,20802,208020000
Ripponlea,20605,206050000
Balaclava,20605,206050000
Kooyong,20804,208040000
Heathmont,21103,211030000
Burnley,20607,206070000
Crib Point,21402,214020000
Bittern,21402,214020000
Baxter,21402,214020000
Tyabb,21402,214020000
Maidstone,21303,213030000
Essendon North,20603,206030000
Travencore,20603,206030000
Middle Park,20605,206050000
Caulfield North,20802,208020000
Caulfield South,20802,208020000
Cremorne,20607,206070000
St Kilda West,20605,206050000
Ravenhall,21304,213040000
Avondale Heights,21001,210011229
Brooklyn,21302,213020000
Laverton North,21305,213050000
South Kingsville,21302,213020000
Williamstown North,21302,213020000
Manor Lakes,21305,213050000
Attwood,21005,210050000
Dallas,21005,210050000
Kurunjang,21304,213040000
Harkness,21304,213040000
Brookfield,21304,213040000
Jacana,21005,210050000
Keilor North,21301,213010000
Strathmore Heights,21001,210010000
Keilor Lodge,21301,213010000
Kealba,21301,213010000
Keilor Park,21001,210011228
Fraser Rise,21304,213041355
Plumpton,21304,213041355
Aintree,21304,213041359
Cobblebank,21304,213041357
Strathtulloh,21304,213041357
Albanvale,21301,213011333
Dandenong South,21204,212041311
Bangholme,21204,212041314
Clyde North,21203,212031301
Botanic Ridge,21203,212031303
Devon Meadows,21203,212031303
Clyde,21203,212031303
Junction Village,21203,212031303
Langwarrin South,21041,210411374
Warneet,21203,212031308
Blind Bight,21203,212031308
Cannons Creek,21203,212031308
Safety Beach,21402,214021377
Sorrento,21403,214031383
Portsea,21403,214031383
Mccrae,21403,214031384
Rye,21403,214031383
Blairgowrie,21403,214031383
Capel Sound,21403,214031384
Merricks,21402,214021378
Tootgarook,21403,214031383
St Andrews Beach,21403,214031383
Shoreham,21402,214021378
Hampton East,20801,208011172
Werribee South,21305,213051368
Moorabbin Airport,20803,208031192
Eumemmerring,21202,212021295
Balnarring,21402,214021379
Point Leo,21402,214021378
Heidelberg Heights,20901,209011199
Bellfield,20901,209011199
Gardenvale,20802,208021179
Mckinnon,20802,208021174
Mont Albert North,20703,207031164
Box Hill South,20703,207031163
Blackburn North,20703,207031161
Oakleigh East,21205,212051326
Notting Hill,21205,212051320
Beveridge,20904,209041224
Donnybrook,20904,209041225
Kalkallo,21005,210051445
Yan Yean,20904,209041225
Watsonia North,20901,209011204
