STOP_ID, ROUTES_USING_STOP, LONGITUDE, TICKETZONE, LATITUDE, STOP_NAME, OBJECTID
"20019","Mernda",144.992407,"1",-37.783217,"Rushall Railway Station (Fitzroy North)",189
"19928","Hurstbridge",144.999233,"1",-37.780621,"Westgarth Railway Station (Northcote)",104
"19929","Hurstbridge",145.008242,"1",-37.779187,"Dennis Railway Station (Northcote)",105
"19930","Hurstbridge",145.016905,"1",-37.779171,"Fairfield Railway Station (Fairfield)",106
"19931","Hurstbridge",145.031255,"1",-37.778394,"Alphington Railway Station (Alphington)",107
"20017","Mernda",144.992972,"1",-37.777847,"Merri Railway Station (Northcote)",188
"19932","Hurstbridge",145.038476,"1",-37.774963,"Darebin Railway Station (Ivanhoe)",108
"19933","Hurstbridge",145.045425,"1,2",-37.768897,"Ivanhoe Railway Station (Ivanhoe)",109
"19934","Hurstbridge",145.053943,"1,2",-37.763586,"Eaglemont Railway Station (Eaglemont)",110
"19935","Hurstbridge",145.060686,"1,2",-37.757073,"Heidelberg Railway Station (Heidelberg)",111
"19876","Lilydale",145.34771,"2",-37.755518,"Lilydale Railway Station (Lilydale)",52
"19936","Hurstbridge",145.06614,"2",-37.742879,"Rosanna Railway Station (Rosanna)",112
"19983","Hurstbridge",145.069143,"2",-37.726012,"Macleod Railway Station (Macleod)",156
"19986","Hurstbridge",145.121516,"2",-37.715296,"Montmorency Railway Station (Montmorency)",159
"19987","Hurstbridge",145.147822,"2",-37.71355,"Eltham Railway Station (Eltham)",160
"19984","Hurstbridge",145.083793,"2",-37.710958,"Watsonia Railway Station (Watsonia)",157
"19985","Hurstbridge",145.108247,"2",-37.703954,"Greensborough Railway Station (Greensborough)",158
"19988","Hurstbridge",145.158506,"2",-37.673297,"Diamond Creek Railway Station (Diamond Creek)",161
"19989","Hurstbridge",145.181615,"2",-37.663968,"Wattle Glen Railway Station (Wattle Glen)",162
"45795","Mernda",145.067032,"2",-37.649159,"South Morang Railway Station (South Morang)",215
"52159","Mernda",145.092144,"2",-37.644061,"Middle Gorge Railway Station (South Morang)",218
"19990","Hurstbridge",145.192017,"2",-37.639398,"Hurstbridge Railway Station (Hurstbridge)",163
"52160","Mernda",145.097396,"2",-37.622995,"Hawkstowe Railway Station (South Morang)",219
"52161","Mernda",145.100885,"2",-37.602548,"Mernda Railway Station (Mernda)",220
"19921","Werribee",144.661118,"2",-37.899378,"Werribee Railway Station (Werribee)",97
"19922","Werribee",144.700955,"2",-37.883276,"Hoppers Crossing Railway Station (Hoppers Crossing)",98
"46468","Werribee",144.747445,"2",-37.869865,"Williams Landing Railway Station (Williams Landing)",216
"19927","Werribee",144.840958,"1",-37.867842,"Seaholme Railway Station (Seaholme)",103
"19991","Williamstown",144.905323,"1",-37.867753,"Williamstown Railway Station (Williamstown)",164
"19926","Werribee",144.829645,"1,2",-37.867148,"Altona Railway Station (Altona)",102
"19924","Werribee",144.760809,"2",-37.866606,"Aircraft Railway Station (Laverton)",100
"19925","Werribee",144.813494,"1,2",-37.865163,"Westona Railway Station (Altona)",101
"19992","Williamstown",144.894484,"1",-37.863982,"Williamstown Beach Railway Station (Williamstown)",165
"19923","Werribee",144.772617,"1,2",-37.863694,"Laverton Railway Station (Laverton)",99
"19993","Williamstown",144.889069,"1",-37.857333,"North Williamstown Railway Station (Williamstown)",166
"19994","Williamstown,Werribee",144.8836,"1",-37.842718,"Newport Railway Station (Newport)",167
"19995","Williamstown,Werribee",144.885933,"1",-37.830639,"Spotswood Railway Station (Spotswood)",168
"19854","Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein",144.966964,"1",-37.818305,"Flinders Street Railway Station (Melbourne City)",30
