STOP_ID, STOP_NAME,SA3_NAME
19969,Jewell Railway Station (Brunswick),Brunswick
20016,Northcote Railway Station (Northcote),Northcote
19968,Brunswick Railway Station (Brunswick),Brunswick
19844,Belgrave Railway Station (Belgrave),Belgrave
19845,Tecoma Railway Station (Tecoma),Tecoma
19952,North Brighton Railway Station (Brighton),Brighton
19846,Upwey Railway Station (Upwey),Upwey
19941,Ormond Railway Station (Ormond),Ormond
19917,Oakleigh Railway Station (Oakleigh),Oakleigh
19953,Gardenvale Railway Station (Brighton),Brighton
19918,Hughesdale Railway Station (Hughesdale),Hughesdale
19867,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),Upper Ferntree Gully
19919,Murrumbeena Railway Station (Murrumbeena),Murrumbeena
19942,Glenhuntly Railway Station (Glen Huntly),Glen Huntly
19920,Carnegie Railway Station (Carnegie),Carnegie
19954,Elsternwick Railway Station (Elsternwick),Elsternwick
19868,Ferntree Gully Railway Station (Ferntree Gully),Ferntree Gully
19873,Glen Waverley Railway Station (Glen Waverley),Glen Waverley
19943,Caulfield Railway Station (Caulfield East),Caulfield East
19838,East Malvern Railway Station (Malvern East),Malvern East
19874,Syndal Railway Station (Glen Waverley),Glen Waverley
19955,Ripponlea Railway Station (Ripponlea),Ripponlea
19875,Mount Waverley Railway Station (Mount Waverley),Mount Waverley
19839,Holmesglen Railway Station (Malvern East),Malvern East
19840,Jordanville Railway Station (Mount Waverley),Mount Waverley
19956,Balaclava Railway Station (Balaclava),Balaclava
19837,Darling Railway Station (Malvern East),Malvern East
19847,Alamein Railway Station (Ashburton),Ashburton
19944,Malvern Railway Station (Malvern),Malvern
19848,Ashburton Railway Station (Ashburton),Ashburton
19869,Boronia Railway Station (Boronia),Boronia
19835,Glen Iris Railway Station (Glen Iris),Glen Iris
19945,Armadale Railway Station (Armadale),Armadale
19957,Windsor Railway Station (Windsor),Windsor
19912,Gardiner Railway Station (Glen Iris),Glen Iris
19849,Burwood Railway Station (Glen Iris),Glen Iris
19946,Toorak Railway Station (Armadale),Armadale
19958,Prahran Railway Station (Prahran),Prahran
19911,Tooronga Railway Station (Malvern),Malvern
19947,Hawksburn Railway Station (South Yarra),South Yarra
19850,Hartwell Railway Station (Camberwell),Camberwell
19870,Bayswater Railway Station (Bayswater),Bayswater
19910,Kooyong Railway Station (Kooyong),Kooyong
19959,South Yarra Railway Station (South Yarra),South Yarra
19851,Willison Railway Station (Camberwell),Camberwell
19909,Heyington Railway Station (Toorak),Toorak
19852,Riversdale Railway Station (Camberwell),Camberwell
19871,Heathmont Railway Station (Heathmont),Heathmont
19906,Burnley Railway Station (Burnley),Burnley
19853,Camberwell Railway Station (Camberwell),Camberwell
19907,East Richmond Railway Station (Richmond),Richmond
19892,East Camberwell Railway Station (Camberwell),Camberwell
19827,Stony Point Railway Station (Crib Point),Crib Point
19828,Crib Point Railway Station (Crib Point),Crib Point
19829,Morradoo Railway Station (Crib Point),Crib Point
19830,Bittern Railway Station (Bittern),Bittern
19831,Hastings Railway Station (Hastings),Hastings
19832,Tyabb Railway Station (Tyabb),Tyabb
19833,Somerville Railway Station (Somerville),Somerville
19834,Baxter Railway Station (Baxter),Baxter
19836,Leawarra Railway Station (Frankston),Frankston
19855,Frankston Railway Station (Frankston),Frankston
19856,Kananook Railway Station (Seaford),Seaford
19857,Seaford Railway Station (Seaford),Seaford
19886,Cranbourne Railway Station (Cranbourne),Cranbourne
19880,Pakenham Railway Station (Pakenham),Pakenham
19887,Merinda Park Railway Station (Cranbourne North),Cranbourne North
19858,Carrum Railway Station (Carrum),Carrum
45794,Cardinia Road Railway Station (Pakenham),Pakenham
19881,Officer Railway Station (Officer),Officer
19859,Bonbeach Railway Station (Bonbeach),Bonbeach
45793,Lynbrook Railway Station (Lynbrook),Lynbrook
19860,Chelsea Railway Station (Chelsea),Chelsea
19882,Beaconsfield Railway Station (Beaconsfield),Beaconsfield
19883,Berwick Railway Station (Berwick),Berwick
19861,Edithvale Railway Station (Edithvale),Edithvale
19884,Narre Warren Railway Station (Narre Warren),Narre Warren
19862,Aspendale Railway Station (Aspendale),Aspendale
19885,Hallam Railway Station (Hallam),Hallam
19863,Mordialloc Railway Station (Mordialloc),Mordialloc
19864,Parkdale Railway Station (Parkdale),Parkdale
19888,Dandenong Railway Station (Dandenong),Dandenong
19865,Mentone Railway Station (Mentone),Mentone
19889,Yarraman Railway Station (Noble Park),Noble Park
19866,Cheltenham Railway Station (Cheltenham),Cheltenham
19890,Noble Park Railway Station (Noble Park),Noble Park
52095,Southland Railway Station (Cheltenham),Cheltenham
19891,Sandown Park Railway Station (Springvale),Springvale
19948,Sandringham Railway Station (Sandringham),Sandringham
19913,Springvale Railway Station (Springvale),Springvale
19872,Highett Railway Station (Highett),Highett
19914,Westall Railway Station (Clayton South),Clayton South
19949,Hampton Railway Station (Hampton),Hampton
19937,Moorabbin Railway Station (Moorabbin),Moorabbin
19950,Brighton Beach Railway Station (Brighton),Brighton
19938,Patterson Railway Station (Bentleigh),Bentleigh
19915,Clayton Railway Station (Clayton),Clayton
19939,Bentleigh Railway Station (Bentleigh),Bentleigh
19951,Middle Brighton Railway Station (Brighton),Brighton
19916,Huntingdale Railway Station (Oakleigh),Oakleigh
19940,McKinnon Railway Station (Mckinnon),Mckinnon
